crimedate,weekday,weekno,month,year,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2014-02-03,2,6,2,2014,40,47,125,4,7,3,46,180,20,21,26,11,5,39,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,60,1,0,677
2014-02-04,3,6,2,2014,37,48,83,0,3,0,54,155,24,17,27,4,4,40,1,3,39,2,9,0,0,1,1,1,0,0,0,0,0,89,3,0,645
2014-02-05,4,6,2,2014,42,35,88,2,1,0,38,125,22,18,26,5,4,35,0,0,39,1,2,0,0,0,0,0,0,0,0,0,0,74,2,0,559
2014-02-06,5,6,2,2014,40,50,92,3,7,1,47,141,18,17,28,4,3,29,0,2,35,1,11,0,0,0,0,0,0,0,0,0,0,79,3,0,611
2014-02-07,6,6,2,2014,38,65,107,1,6,2,49,159,25,21,46,9,3,23,0,0,41,1,5,0,0,2,2,0,0,0,0,0,0,86,2,0,693
2014-02-08,7,6,2,2014,25,61,99,2,6,2,50,141,24,18,26,4,5,19,0,2,27,0,3,0,0,0,3,0,0,0,0,0,0,83,4,0,604
2014-02-09,1,6,2,2014,38,57,135,4,5,1,47,126,14,29,26,5,7,26,0,1,30,2,2,0,0,1,2,0,0,0,0,0,0,86,4,0,648
2014-02-10,2,7,2,2014,41,64,108,2,8,4,41,143,16,17,15,5,7,38,0,1,37,0,2,0,0,1,0,0,0,0,0,0,0,68,2,0,620
2014-02-11,3,7,2,2014,37,37,111,6,5,2,36,136,21,22,19,4,6,27,0,0,26,0,2,0,0,1,0,0,0,0,0,0,0,94,3,0,595
2014-02-12,4,7,2,2014,49,40,79,3,9,1,41,133,19,24,28,3,10,32,0,1,22,1,8,0,0,0,1,0,0,0,0,0,0,101,1,0,606
2014-02-13,5,7,2,2014,33,52,99,2,4,5,35,159,21,24,22,4,9,38,0,2,31,1,9,1,1,0,0,0,0,0,0,0,0,88,2,0,642
2014-02-14,6,7,2,2014,43,62,102,4,5,2,46,170,21,22,24,7,6,49,0,1,37,1,8,0,0,0,1,0,0,0,0,0,0,81,4,0,696
