crimedate,weekday,weekno,month,year,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2015-08-07,6,32,8,2015,43,79,163,3,11,2,57,198,24,35,22,6,10,45,2,3,50,2,1,2,1,1,0,0,0,0,0,0,0,71,8,0,839
2015-08-08,7,32,8,2015,47,104,187,5,3,2,51,184,18,28,27,11,8,52,0,1,52,0,0,3,1,2,2,0,0,0,0,0,0,59,2,0,849
2015-08-09,1,32,8,2015,19,86,183,2,6,2,50,160,16,25,25,8,12,34,0,1,37,1,0,1,0,1,1,0,0,0,0,0,0,69,6,0,745
2015-08-10,2,33,8,2015,46,79,149,3,3,3,62,190,27,24,35,7,6,44,1,0,64,1,0,1,0,0,1,0,0,0,0,0,0,59,3,0,808
2015-08-11,3,33,8,2015,38,80,140,5,6,7,65,170,18,33,26,8,12,34,0,1,56,2,10,5,0,2,0,0,0,0,0,0,0,68,4,0,790
2015-08-12,4,33,8,2015,37,70,139,3,2,2,51,177,14,24,33,4,12,38,1,2,54,1,8,2,0,1,0,0,0,0,0,0,0,84,1,0,760
2015-08-13,5,33,8,2015,54,72,158,9,6,1,46,160,17,27,32,4,8,46,1,0,65,2,6,2,0,0,0,0,0,0,0,0,0,64,4,0,784
2015-08-14,6,33,8,2015,38,95,129,4,7,3,53,181,12,34,33,6,7,56,1,0,61,1,9,2,0,0,4,0,0,0,0,0,0,67,5,0,808
2015-08-15,7,33,8,2015,39,106,185,2,10,9,47,181,18,37,19,7,2,50,0,1,42,3,6,2,0,1,4,0,0,0,0,0,0,47,5,0,823
2015-08-16,1,33,8,2015,26,113,212,5,6,3,31,179,18,30,31,6,13,45,0,1,70,2,0,2,0,1,3,0,0,0,1,0,0,58,9,0,865
2015-08-17,2,34,8,2015,54,79,136,5,4,3,51,170,23,22,22,3,13,48,0,0,50,3,2,0,0,1,0,0,0,0,0,0,0,48,4,0,741
2015-08-18,3,34,8,2015,48,74,136,5,7,2,47,179,17,28,30,8,11,47,1,3,43,0,9,2,0,1,1,0,0,0,0,0,0,59,3,0,761
2015-08-19,4,34,8,2015,44,87,136,3,3,1,57,188,19,25,31,9,10,32,0,1,53,2,12,4,0,0,0,0,0,0,0,0,0,74,0,1,792
2015-08-20,5,34,8,2015,42,74,118,5,3,5,59,192,19,37,36,6,12,46,2,2,46,2,15,2,2,0,2,0,0,0,0,0,0,108,3,0,838
2015-08-21,6,34,8,2015,51,92,128,3,6,3,50,214,12,31,40,4,9,38,0,2,61,2,8,1,2,1,2,0,0,0,0,0,0,90,8,0,858
2015-08-22,7,34,8,2015,41,111,178,6,3,3,56,159,18,45,34,4,16,39,0,2,63,2,3,0,0,2,1,0,0,0,0,0,0,57,2,0,845
2015-08-23,1,34,8,2015,32,85,197,4,9,2,49,171,20,30,27,9,11,34,1,1,41,3,0,2,0,0,0,1,0,0,0,0,0,70,7,0,806
2015-08-24,2,35,8,2015,38,86,124,6,2,3,53,154,20,30,32,8,12,38,1,3,43,1,1,0,0,0,3,0,0,0,0,0,0,62,4,0,724
2015-08-25,3,35,8,2015,49,79,114,3,6,1,58,185,16,28,43,4,14,39,1,2,56,3,6,3,0,0,1,0,0,0,0,0,0,55,1,0,767
2015-08-26,4,35,8,2015,64,89,103,4,4,3,56,189,23,36,29,7,18,34,0,2,45,3,4,2,1,1,0,0,0,0,0,0,0,67,6,2,792
2015-08-27,5,35,8,2015,45,81,122,7,5,2,56,200,10,30,35,7,13,37,0,1,29,0,6,2,3,0,0,0,0,0,0,0,0,72,1,0,764
2015-08-28,6,35,8,2015,60,89,126,2,6,2,49,207,18,29,32,6,9,47,0,0,43,1,1,3,0,3,0,0,0,0,0,0,0,72,1,0,806
2015-08-29,7,35,8,2015,36,105,158,5,2,3,47,153,10,25,23,5,9,42,0,1,60,3,2,1,0,0,1,0,0,0,0,0,0,65,4,0,760
2015-08-30,1,35,8,2015,30,93,151,5,5,2,57,172,26,34,28,8,7,39,1,1,57,2,0,2,0,0,1,0,0,0,0,0,0,69,9,0,799
2015-08-31,2,36,8,2015,48,76,133,5,3,6,45,176,16,27,35,8,9,33,1,1,43,3,1,2,0,0,4,1,0,0,0,0,0,67,2,0,745
2015-09-01,3,36,9,2015,120,87,148,6,23,19,56,200,20,30,35,5,13,36,0,1,56,1,4,3,0,0,2,0,0,0,0,0,0,74,12,1,952
2015-09-02,4,36,9,2015,43,93,118,7,1,4,57,169,14,29,35,5,7,51,1,0,54,10,8,4,1,2,2,0,0,0,1,0,0,77,7,0,800
2015-09-03,5,36,9,2015,41,82,153,2,2,5,59,227,18,44,31,13,9,35,0,1,59,2,6,2,0,0,0,0,0,0,0,0,0,80,4,0,875
2015-09-04,6,36,9,2015,67,87,128,4,6,4,54,200,13,34,24,11,12,37,0,0,50,2,1,4,0,2,0,1,1,0,0,0,0,68,5,0,815
2015-09-05,7,36,9,2015,34,86,169,1,6,5,31,172,20,36,27,10,14,39,0,1,44,3,2,1,1,0,0,0,0,0,0,0,0,56,7,0,765
2015-09-06,1,36,9,2015,23,97,191,10,8,3,39,162,20,31,27,3,7,42,1,1,61,2,2,3,1,0,2,0,0,0,0,0,0,77,5,0,818
2015-09-07,2,37,9,2015,27,98,173,5,8,6,49,160,15,34,29,7,14,34,0,0,55,2,0,1,1,1,1,0,0,0,0,0,0,80,8,0,808
2015-09-08,3,37,9,2015,53,73,110,2,4,4,52,174,13,25,32,4,6,41,1,0,51,1,3,1,0,0,2,0,0,0,0,0,0,61,4,0,717
2015-09-09,4,37,9,2015,42,78,116,4,6,4,45,167,22,27,19,7,8,41,0,0,46,1,2,2,0,1,1,0,0,0,0,0,0,70,2,0,711
2015-09-10,5,37,9,2015,33,81,112,6,1,1,46,156,8,24,26,4,12,45,0,0,40,1,0,0,1,0,2,0,0,0,0,0,0,56,3,0,658
2015-09-11,6,37,9,2015,49,80,103,1,6,1,46,151,14,23,23,12,7,43,1,1,46,0,1,1,1,1,2,0,0,0,0,0,0,74,4,0,691
2015-09-12,7,37,9,2015,47,84,157,5,6,3,47,158,15,23,34,10,7,21,0,1,41,0,2,0,0,0,2,0,0,0,0,0,0,51,10,0,724
2015-09-13,1,37,9,2015,31,109,187,5,5,1,26,143,13,33,30,12,12,31,0,0,31,1,0,0,0,0,0,0,1,0,0,0,0,56,6,1,734
2015-09-14,2,38,9,2015,41,78,140,5,5,6,50,203,16,36,26,2,6,42,0,0,59,5,2,1,0,0,8,0,0,0,0,0,0,56,3,0,790
2015-09-15,3,38,9,2015,68,80,122,6,6,5,56,178,24,42,34,11,12,38,1,0,54,1,2,2,0,1,0,1,0,0,0,0,0,66,1,0,811
2015-09-16,4,38,9,2015,47,68,144,2,3,1,37,176,14,34,35,8,9,41,1,2,48,2,5,2,3,1,0,1,0,0,0,0,0,82,0,0,766
2015-09-17,5,38,9,2015,40,62,133,2,5,4,41,183,11,19,27,2,12,41,0,1,53,0,3,1,1,0,1,0,0,0,0,0,0,66,9,0,717
2015-09-18,6,38,9,2015,55,101,127,5,8,2,53,188,12,26,34,2,13,50,0,3,47,1,3,2,1,0,2,0,0,0,1,0,0,52,3,0,791
2015-09-19,7,38,9,2015,36,79,162,3,6,0,48,185,18,30,33,4,10,32,1,2,53,3,2,2,0,0,2,0,0,0,0,0,0,77,3,1,792
2015-09-20,1,38,9,2015,38,80,205,3,2,2,53,183,17,31,24,9,14,26,0,1,43,6,0,1,1,0,0,0,0,0,0,0,0,67,5,0,811
2015-09-21,2,39,9,2015,40,68,138,3,4,3,44,157,14,30,20,8,16,47,0,1,65,1,1,1,2,0,0,0,0,0,0,0,0,67,5,0,735
2015-09-22,3,39,9,2015,45,78,132,3,8,0,51,146,22,39,32,11,14,42,0,0,60,1,9,1,1,0,2,0,0,0,0,0,0,77,2,0,776
2015-09-23,4,39,9,2015,46,87,149,3,7,3,49,198,23,28,26,8,10,41,0,2,53,1,5,2,1,2,2,0,0,0,0,0,0,85,2,0,833
2015-09-24,5,39,9,2015,39,74,128,4,4,0,37,167,20,26,29,6,9,40,1,1,52,2,4,0,1,1,1,0,1,0,0,0,0,67,2,0,716
2015-09-25,6,39,9,2015,50,99,145,2,5,3,54,161,11,28,30,6,10,56,0,2,59,2,5,1,0,1,1,1,0,0,0,0,0,73,4,0,809
2015-09-26,7,39,9,2015,31,108,169,5,4,2,45,161,14,36,36,6,9,36,2,2,57,2,1,0,0,0,3,0,0,1,0,0,0,57,5,0,792
2015-09-27,1,39,9,2015,27,97,172,3,10,4,43,148,14,37,32,9,12,45,0,0,59,3,2,0,0,0,0,0,0,0,0,0,0,76,8,0,801
2015-09-28,2,40,9,2015,41,74,134,2,7,0,44,173,18,41,27,8,12,42,0,0,55,3,0,1,0,2,0,0,0,0,0,0,0,68,1,0,753
2015-09-29,3,40,9,2015,43,74,101,2,5,1,49,157,16,31,23,8,9,31,0,1,48,4,0,1,0,2,0,0,0,0,0,0,0,59,4,0,669
2015-09-30,4,40,9,2015,39,74,103,4,3,5,45,177,18,24,24,6,10,35,0,2,31,2,0,1,0,0,1,0,0,0,0,0,0,73,0,1,678
2015-10-01,5,40,10,2015,116,79,108,2,17,11,76,183,22,42,26,6,10,38,0,2,49,2,3,1,0,0,3,0,1,0,0,0,0,82,7,0,886
2015-10-02,6,40,10,2015,57,68,127,6,7,1,51,185,13,36,28,7,12,49,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,105,1,0,799
2015-10-03,7,40,10,2015,35,78,109,5,5,3,50,149,15,42,45,8,9,44,0,1,40,0,0,1,0,1,0,0,2,0,0,0,0,63,3,0,708
2015-10-04,1,40,10,2015,22,81,128,1,8,3,45,142,14,32,23,8,10,24,0,0,44,1,0,0,0,1,0,0,0,0,0,0,0,64,2,0,653
2015-10-05,2,41,10,2015,66,63,117,5,8,5,52,165,13,34,25,11,9,41,0,1,54,0,0,3,0,0,0,0,0,0,0,0,0,79,4,0,755
2015-10-06,3,41,10,2015,39,63,110,3,7,4,66,168,17,31,22,6,14,43,0,0,59,2,4,0,0,1,4,0,0,0,0,0,0,84,5,0,752
2015-10-07,4,41,10,2015,45,74,132,3,2,2,49,141,18,32,28,6,5,44,0,0,55,1,10,0,1,0,1,0,0,0,0,0,0,68,1,0,718
2015-10-08,5,41,10,2015,38,60,148,3,3,1,45,161,16,28,39,4,4,28,1,0,46,1,7,0,0,0,1,1,0,0,0,0,0,64,2,0,701
2015-10-09,6,41,10,2015,54,83,133,3,9,1,52,195,9,31,22,11,12,39,0,0,35,1,2,0,0,0,0,0,0,0,0,0,0,100,3,0,795
2015-10-10,7,41,10,2015,41,100,122,6,3,4,48,173,19,28,16,6,6,32,2,1,48,2,0,0,1,2,1,0,0,0,0,0,0,62,5,0,728
2015-10-11,1,41,10,2015,19,102,176,3,11,2,49,142,15,27,30,7,13,26,0,2,59,1,0,0,0,0,2,0,1,0,0,0,0,41,7,0,735
2015-10-12,2,42,10,2015,38,87,142,2,4,0,54,157,16,26,26,9,8,44,1,0,47,1,0,1,0,0,3,1,1,0,0,0,0,58,4,0,730
2015-10-13,3,42,10,2015,42,88,144,5,5,2,50,162,22,22,23,7,4,47,0,3,47,1,1,0,0,0,0,0,0,0,2,0,0,61,3,0,741
2015-10-14,4,42,10,2015,49,85,120,2,6,3,46,176,20,29,15,6,7,59,0,1,47,2,5,0,1,1,3,0,0,0,0,0,0,77,4,0,764
2015-10-15,5,42,10,2015,67,89,110,2,3,5,58,190,18,30,31,7,7,50,0,3,52,0,5,0,2,0,0,0,0,0,0,0,0,80,7,0,816
2015-10-16,6,42,10,2015,48,83,107,5,6,3,46,170,16,25,29,5,10,41,2,1,53,2,1,3,0,1,0,0,0,0,0,0,0,71,5,1,734
2015-10-17,7,42,10,2015,25,90,141,5,6,4,37,182,14,23,20,4,13,37,0,1,39,0,2,1,1,0,3,0,0,0,0,0,0,54,4,0,706
2015-10-18,1,42,10,2015,24,111,161,4,4,0,42,111,18,22,23,7,9,36,1,1,35,2,0,0,0,2,1,0,0,0,0,0,0,56,6,0,676
2015-10-19,2,43,10,2015,38,97,132,4,6,4,47,182,25,44,28,10,5,45,2,0,49,2,1,0,0,0,4,0,0,0,0,0,0,60,2,1,788
2015-10-20,3,43,10,2015,56,84,117,6,1,3,42,185,25,35,24,1,13,49,0,1,46,0,3,0,1,0,0,1,0,0,0,0,0,86,6,0,785
2015-10-21,4,43,10,2015,42,94,143,3,6,0,48,189,12,31,31,7,7,50,0,1,43,0,4,1,0,0,3,0,0,0,0,0,0,77,2,0,794
2015-10-22,5,43,10,2015,43,92,128,4,6,2,68,152,19,24,33,9,9,44,0,0,50,0,10,1,0,0,1,0,0,0,0,0,0,76,2,0,773
2015-10-23,6,43,10,2015,50,78,131,2,7,4,45,163,25,36,22,11,14,48,1,2,44,3,0,1,0,1,1,0,0,0,0,0,0,85,3,0,777
2015-10-24,7,43,10,2015,37,87,161,1,10,3,36,180,11,32,25,4,11,49,1,0,51,3,9,0,0,1,2,0,0,0,0,0,0,46,5,0,765
2015-10-25,1,43,10,2015,23,83,151,4,5,6,32,175,19,29,28,5,8,28,0,1,49,1,6,1,0,0,2,1,0,0,0,0,0,59,12,0,728
2015-10-26,2,44,10,2015,55,85,131,3,8,3,48,178,17,39,30,6,7,54,1,0,55,2,0,0,1,1,3,0,0,0,0,0,0,51,1,2,781
2015-10-27,3,44,10,2015,37,83,108,2,2,3,44,151,15,31,25,4,7,44,0,0,47,0,1,0,0,1,1,0,0,0,0,0,0,43,2,0,651
2015-10-28,4,44,10,2015,44,66,106,3,6,2,59,160,19,19,28,8,5,56,0,0,38,0,4,0,0,0,2,0,0,0,0,0,0,54,3,0,682
2015-10-29,5,44,10,2015,39,77,116,3,5,2,43,165,13,30,33,5,3,35,1,1,36,0,4,0,0,0,1,0,0,0,0,0,0,56,1,0,669
2015-10-30,6,44,10,2015,54,78,114,6,8,1,49,165,13,31,44,11,13,42,0,0,38,1,2,0,1,1,1,0,0,0,0,0,0,96,7,0,776
2015-10-31,7,44,10,2015,29,105,166,3,6,2,43,157,17,35,20,5,12,35,0,2,26,1,4,0,0,2,2,0,0,1,0,0,0,47,1,0,721
2015-11-01,1,44,11,2015,99,107,184,4,18,10,66,186,23,32,45,5,17,41,0,3,59,1,1,0,1,2,5,0,0,0,0,0,0,69,14,0,992
2015-11-02,2,45,11,2015,51,85,153,5,3,5,59,154,16,23,34,6,9,51,0,0,51,2,0,0,1,0,1,0,0,0,0,0,0,76,0,0,785
2015-11-03,3,45,11,2015,50,74,138,3,4,2,53,167,15,34,30,5,5,40,0,1,53,3,6,0,0,1,6,0,0,0,0,0,0,55,3,1,749
2015-11-04,4,45,11,2015,41,77,129,2,2,3,59,173,23,26,29,4,10,65,1,2,53,0,3,2,2,0,2,0,0,0,0,0,0,79,4,0,791
2015-11-05,5,45,11,2015,43,76,136,1,5,6,44,180,24,32,24,8,7,47,0,0,46,1,3,0,0,0,0,0,0,0,0,0,0,66,5,0,754
2015-11-06,6,45,11,2015,40,70,117,5,9,3,41,174,21,32,39,4,7,47,0,0,46,0,9,0,0,2,0,0,0,0,0,0,0,79,2,0,747
2015-11-07,7,45,11,2015,31,85,133,0,5,3,51,168,14,20,21,7,11,25,0,5,35,4,8,2,0,0,1,0,0,0,0,0,0,56,6,0,691
2015-11-08,1,45,11,2015,25,96,143,4,1,1,35,163,17,20,33,3,11,29,0,1,40,0,2,0,0,1,5,0,0,0,0,0,0,69,6,0,705
2015-11-09,2,46,11,2015,39,83,115,3,6,3,49,160,11,27,19,7,9,45,0,0,38,1,0,0,0,0,1,0,0,1,0,0,0,64,3,0,684
2015-11-10,3,46,11,2015,44,72,125,4,4,3,39,129,10,27,24,1,8,42,1,1,40,1,1,0,0,2,1,0,0,0,0,0,0,57,4,0,640
2015-11-11,4,46,11,2015,58,74,99,8,9,1,43,134,14,31,28,7,9,49,0,0,35,2,4,1,0,1,0,0,0,0,0,0,0,71,8,0,686
2015-11-12,5,46,11,2015,62,81,75,3,7,3,43,156,21,24,26,9,11,52,0,1,41,2,2,0,0,1,1,1,0,0,0,0,0,68,3,0,693
2015-11-13,6,46,11,2015,39,87,108,7,4,0,44,159,20,26,30,5,8,31,1,0,38,0,1,0,0,1,1,1,0,0,0,0,0,67,1,0,679
2015-11-14,7,46,11,2015,30,95,126,0,4,0,38,175,21,28,23,7,9,35,0,0,36,1,3,1,0,0,0,1,0,0,0,0,0,61,2,0,696
2015-11-15,1,46,11,2015,40,81,133,5,6,2,54,155,17,23,29,11,7,38,0,0,44,0,4,0,2,0,1,0,0,0,0,0,0,65,5,0,722
2015-11-16,2,47,11,2015,52,94,126,3,5,6,46,163,19,37,27,5,9,53,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,57,3,0,744
2015-11-17,3,47,11,2015,44,80,108,4,3,4,39,143,20,27,29,8,7,44,0,0,39,0,5,0,0,1,2,0,0,0,0,0,0,58,1,1,667
2015-11-18,4,47,11,2015,47,66,112,4,6,0,40,164,13,23,27,8,6,46,1,0,47,2,1,0,0,1,2,0,0,0,0,0,0,66,1,0,683
2015-11-19,5,47,11,2015,48,80,91,8,6,0,38,150,18,34,27,6,3,38,0,0,45,0,4,0,1,0,1,1,1,0,0,0,0,93,3,0,696
2015-11-20,6,47,11,2015,44,71,103,1,9,4,39,163,16,33,34,9,10,36,0,0,51,1,5,0,1,2,0,0,0,0,0,0,0,78,2,1,713
2015-11-21,7,47,11,2015,30,49,96,3,5,3,33,124,10,15,33,5,6,25,0,0,46,2,0,0,1,0,1,0,0,0,0,0,0,39,2,0,528
2015-11-22,1,47,11,2015,28,71,108,4,2,1,49,112,12,12,16,3,5,21,0,0,29,3,0,0,0,1,0,0,0,0,0,0,0,40,3,0,520
2015-11-23,2,48,11,2015,41,51,120,3,3,3,45,148,26,34,34,5,8,32,0,0,38,1,0,0,1,0,3,0,0,0,0,0,0,54,0,0,650
2015-11-24,3,48,11,2015,30,66,101,3,9,3,43,135,14,26,29,4,7,51,0,0,35,0,0,0,1,0,1,0,0,0,0,0,0,47,2,0,607
2015-11-25,4,48,11,2015,34,84,97,2,3,1,39,146,10,25,25,4,13,47,0,0,38,1,0,0,0,0,2,0,0,1,0,0,0,44,3,0,619
2015-11-26,5,48,11,2015,21,87,144,2,5,2,30,99,7,34,33,4,7,42,0,0,39,3,0,0,0,1,1,1,0,0,0,0,0,24,2,1,589
2015-11-27,6,48,11,2015,42,86,88,2,6,0,34,163,12,31,29,2,2,27,0,0,44,2,0,0,0,0,2,0,0,0,0,0,0,37,4,0,613
2015-11-28,7,48,11,2015,37,97,131,2,7,3,32,137,12,23,32,10,10,41,0,0,37,2,0,0,0,0,1,0,0,0,0,0,0,41,3,0,658
2015-11-29,1,48,11,2015,24,79,108,4,6,1,36,125,14,28,34,4,6,41,0,1,43,4,0,0,0,1,1,0,0,0,0,0,0,45,7,0,612
2015-11-30,2,49,11,2015,44,84,106,4,0,1,60,160,18,32,21,3,4,37,0,0,30,0,2,0,0,0,0,0,1,0,0,0,0,57,2,0,666
2015-12-01,3,49,12,2015,112,71,113,4,17,20,57,155,15,26,30,2,9,38,0,0,42,2,3,0,1,1,2,0,0,0,0,0,0,66,7,0,793
2015-12-02,4,49,12,2015,45,76,114,2,2,1,40,169,13,45,36,6,6,44,0,0,37,0,2,0,1,0,0,0,0,0,0,0,0,74,3,0,716
2015-12-03,5,49,12,2015,52,67,114,2,7,1,50,173,8,31,39,4,4,43,0,0,48,1,3,0,0,0,1,0,0,0,0,0,0,59,3,0,710
2015-12-04,6,49,12,2015,46,76,116,4,3,3,47,162,11,34,33,5,6,47,0,0,38,2,0,1,0,3,0,0,0,0,0,0,0,61,2,0,700
2015-12-05,7,49,12,2015,45,95,154,4,6,2,39,150,13,29,36,2,9,25,0,0,38,1,11,1,0,0,2,0,0,0,0,0,0,43,2,0,707
2015-12-06,1,49,12,2015,31,93,135,4,5,0,42,149,19,37,41,5,7,29,0,0,29,1,0,0,0,1,3,0,1,0,0,0,0,49,6,0,687
2015-12-07,2,50,12,2015,45,79,117,3,1,0,44,179,20,33,22,7,3,51,0,0,32,0,0,0,0,1,1,0,0,1,0,0,0,45,5,0,689
2015-12-08,3,50,12,2015,50,80,119,2,8,3,55,186,19,24,25,5,8,40,2,1,37,0,3,0,1,2,3,0,0,0,0,0,0,58,2,0,733
2015-12-09,4,50,12,2015,43,68,111,3,10,2,46,172,19,34,26,6,4,56,2,0,40,1,0,0,0,0,1,0,0,0,0,0,0,39,2,0,685
2015-12-10,5,50,12,2015,43,74,122,1,4,2,48,172,11,26,28,4,7,58,1,0,38,1,3,0,0,1,1,0,1,0,0,0,0,41,3,0,690
2015-12-11,6,50,12,2015,40,88,116,3,6,2,30,190,27,32,43,10,5,46,0,0,47,1,0,0,0,0,1,0,0,0,0,0,0,48,7,0,742
2015-12-12,7,50,12,2015,45,95,159,3,5,2,41,164,14,31,34,7,10,43,0,4,45,1,10,0,0,1,0,0,0,0,0,0,0,36,1,1,752
2015-12-13,1,50,12,2015,17,90,146,3,6,3,26,182,11,27,27,0,6,28,0,0,37,1,3,0,0,0,0,1,0,1,0,0,0,28,5,2,650
2015-12-14,2,51,12,2015,45,79,121,1,6,0,45,192,11,38,28,5,5,69,1,0,48,0,1,0,3,0,1,0,0,0,0,0,0,36,4,0,739
2015-12-15,3,51,12,2015,58,99,108,3,6,5,42,194,23,30,27,10,11,62,0,0,52,1,2,0,0,1,1,0,0,0,0,0,0,56,2,0,793
2015-12-16,4,51,12,2015,51,92,105,1,7,2,46,173,13,33,23,8,5,58,1,2,45,1,0,0,0,1,1,0,0,0,0,0,0,50,4,0,722
2015-12-17,5,51,12,2015,61,77,100,1,8,2,44,187,13,38,36,6,3,56,0,1,39,4,3,0,0,0,1,0,0,0,0,0,0,45,2,0,727
2015-12-18,6,51,12,2015,45,68,110,0,8,2,38,172,13,27,23,7,3,43,0,0,42,0,2,0,0,0,0,0,0,0,0,0,0,46,4,0,653
2015-12-19,7,51,12,2015,45,81,128,6,3,1,36,164,6,29,38,1,3,41,0,0,30,0,4,0,0,2,0,0,0,0,0,0,0,44,4,0,666
2015-12-20,1,51,12,2015,34,86,142,2,9,2,50,152,14,36,30,4,7,34,1,0,33,2,2,0,1,0,2,0,0,0,0,0,0,46,4,0,693
2015-12-21,2,52,12,2015,58,70,109,0,4,1,38,159,20,26,32,3,4,44,0,0,40,2,0,0,1,0,1,0,0,0,0,0,0,35,2,0,649
2015-12-22,3,52,12,2015,41,83,89,1,3,0,45,185,19,40,30,3,4,51,0,0,56,0,2,0,0,0,0,0,0,0,0,0,0,38,4,0,694
2015-12-23,4,52,12,2015,46,94,90,1,4,4,42,204,18,44,33,5,4,68,1,0,51,2,5,0,0,0,2,0,0,0,0,0,0,31,4,0,753
2015-12-24,5,52,12,2015,49,99,141,2,7,3,31,131,19,57,17,4,2,57,0,0,42,2,0,0,0,1,0,0,0,0,0,0,0,11,0,0,675
2015-12-25,6,52,12,2015,14,80,139,2,13,2,28,87,8,31,15,1,1,28,0,0,32,1,0,0,0,1,1,0,0,0,0,0,0,11,2,1,498
2015-12-26,7,52,12,2015,25,93,138,2,3,0,46,129,10,29,31,3,11,33,0,0,38,2,0,0,1,1,1,0,0,0,0,0,0,38,6,0,640
2015-12-27,1,52,12,2015,22,81,120,2,3,0,36,159,11,33,35,3,5,24,0,1,44,3,0,0,0,1,3,1,0,0,0,0,0,38,2,0,627
2015-12-28,2,53,12,2015,30,59,89,4,3,1,38,126,12,27,26,5,3,38,1,0,29,1,0,0,0,1,0,1,0,0,0,0,0,19,3,0,516
2015-12-29,3,53,12,2015,46,63,99,0,6,1,42,147,12,37,29,5,3,42,1,0,34,1,4,0,0,0,0,0,0,0,0,0,0,50,2,0,624
2015-12-30,4,53,12,2015,46,59,125,1,4,2,43,130,11,33,21,4,7,34,0,1,41,0,2,0,0,0,1,0,0,0,0,0,0,35,3,0,603
2015-12-31,5,53,12,2015,66,64,97,2,8,2,37,133,8,42,23,5,7,46,0,0,43,0,0,0,0,0,2,0,0,0,0,0,0,21,4,0,610
2016-01-01,6,53,1,2016,227,113,229,2,128,57,70,130,8,24,28,3,7,14,1,0,43,3,0,0,0,1,1,3,0,0,0,0,0,21,40,0,1153
2016-01-02,7,53,1,2016,46,77,101,1,5,2,41,131,9,22,29,6,2,33,0,2,32,0,1,0,0,1,0,0,0,0,0,0,0,29,6,0,576
2016-01-03,1,53,1,2016,30,81,124,0,3,3,39,148,16,43,28,0,4,24,0,1,39,1,0,0,2,1,1,0,0,0,0,0,0,29,1,0,618
2016-01-04,2,1,1,2016,52,73,108,1,3,3,33,135,23,33,32,3,5,55,1,0,35,1,0,0,0,1,2,0,0,0,0,0,0,23,3,1,626
2016-01-05,3,1,1,2016,57,66,112,0,5,3,42,154,10,32,21,1,5,31,0,1,41,5,1,0,0,0,0,0,0,0,0,0,0,39,1,0,627
2016-01-06,4,1,1,2016,55,77,95,1,6,4,52,146,8,32,21,1,3,35,1,1,48,1,1,0,0,0,2,0,0,0,0,0,0,34,2,0,626
2016-01-07,5,1,1,2016,55,74,111,1,9,2,40,165,18,38,26,4,5,47,0,0,47,2,10,0,0,2,1,0,0,0,0,0,0,43,5,1,706
2016-01-08,6,1,1,2016,48,98,118,3,8,2,47,161,15,47,29,6,8,46,0,0,46,2,3,0,1,2,2,0,0,0,0,0,0,48,2,0,742
2016-01-09,7,1,1,2016,36,89,125,2,7,6,42,128,12,39,25,2,4,34,0,1,48,2,5,0,0,0,2,0,0,0,0,0,0,38,3,0,650
2016-01-10,1,1,1,2016,42,55,127,3,7,4,53,118,15,38,28,1,7,35,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,29,1,0,597
2016-01-11,2,2,1,2016,45,42,92,0,4,2,32,118,10,41,35,3,2,33,0,0,35,1,0,0,0,0,1,0,0,0,0,0,0,16,1,0,513
2016-01-12,3,2,1,2016,43,58,82,2,4,5,35,118,21,21,37,2,3,42,0,1,34,0,0,0,0,1,1,1,0,0,0,0,0,35,2,0,548
2016-01-13,4,2,1,2016,54,76,101,0,5,0,51,141,11,33,35,6,8,50,1,1,32,3,2,0,1,0,1,0,0,0,0,0,0,35,6,1,654
2016-01-14,5,2,1,2016,55,83,133,1,8,7,45,152,19,28,26,5,4,55,1,0,49,1,5,0,0,0,3,0,0,0,0,0,0,49,5,0,734
2016-01-15,6,2,1,2016,55,77,148,2,5,2,44,168,12,37,36,3,9,43,0,0,41,1,8,0,1,1,1,0,0,0,0,0,0,38,1,0,733
2016-01-16,7,2,1,2016,46,78,127,2,3,1,45,133,11,28,39,3,5,40,0,1,37,3,4,0,0,1,1,0,0,0,0,0,0,38,5,0,651
2016-01-17,1,2,1,2016,32,64,138,0,6,1,40,97,10,27,27,1,4,22,1,3,29,1,1,0,0,1,3,0,0,0,0,0,0,26,3,0,537
2016-01-18,2,3,1,2016,36,72,79,0,2,1,41,114,9,26,38,2,4,18,0,0,32,0,0,0,0,3,1,0,0,0,0,0,0,36,1,0,515
