crimedate,weekday,dayofmonth,julian_date,weekno,month,quarter,year,temp,dewp,slp,visib,wdsp,mxpsd,prcp,sndp,fog,num_crimes
2015-02-13,6,13,44,7,2,1,2015,14.5,3.9,1027.7,10.0,8.4,14.0,0.0,3.1,0,632
2015-02-23,2,23,54,9,2,1,2015,7.7,-9.3,1039.9,10.0,9.8,15.0,0.0,3.1,0,572
2015-02-25,4,25,56,9,2,1,2015,24.1,9.9,1014.2,8.9,7.9,14.0,0.0,3.1,0,571
2015-03-02,2,02,61,10,3,1,2015,23.8,12.4,1032.1,10.0,6.6,12.0,0.01,5.1,0,658
2015-03-13,6,13,72,11,3,1,2015,50.6,31.5,1023.5,10.0,6.3,9.9,0.0,0.0,0,814
2015-03-17,3,17,76,12,3,1,2015,44.1,25.4,1022.2,10.0,15.0,24.1,0.0,0.0,0,692
2015-03-21,7,21,80,12,3,1,2015,43.0,34.9,1019.4,8.1,11.4,17.1,0.0,0.0,0,689
2015-03-23,2,23,82,13,3,1,2015,31.4,25.2,1025.7,6.6,11.5,17.1,0.07,3.1,1,592
2015-03-26,5,26,85,13,3,1,2015,39.7,28.4,1016.2,9.7,8.1,13.0,0.13,0.0,0,684
2015-03-29,1,29,88,13,3,1,2015,34.9,19.8,1019.9,10.0,12.4,22.0,0.0,0.0,0,619
2015-04-03,6,03,93,14,4,2,2015,52.0,31.8,1012.6,10.0,8.9,17.1,0.25,0.0,0,710
2015-04-05,1,05,95,14,4,2,2015,56.3,23.8,1018.3,10.0,10.3,15.9,0.0,0.0,0,673
2015-04-07,3,07,97,15,4,2,2015,43.6,39.0,1018.1,5.1,10.5,15.0,0.11,0.0,0,603
2015-04-14,3,14,104,16,4,2,2015,58.2,24.9,1023.0,10.0,5.1,8.9,0.03,0.0,0,767
2015-04-21,3,21,111,17,4,2,2015,47.6,29.3,1003.5,10.0,16.2,27.0,0.0,0.0,0,663
2015-04-25,7,25,115,17,4,2,2015,45.9,39.3,1010.2,8.8,13.1,21.0,0.29,0.0,0,695
2015-04-27,2,27,117,18,4,2,2015,49.1,31.6,1018.9,10.0,11.9,18.1,0.0,0.0,0,721
2015-04-28,3,28,118,18,4,2,2015,49.1,34.3,1020.1,10.0,5.4,12.0,0.0,0.0,0,718
2015-04-30,5,30,120,18,4,2,2015,48.0,34.8,1014.5,10.0,12.1,20.0,0.0,0.0,0,666
2015-05-06,4,06,126,19,5,2,2015,60.1,53.5,1021.2,3.6,5.4,9.9,0.01,0.0,1,739
2015-05-07,5,07,127,19,5,2,2015,71.2,52.9,1016.3,9.9,7.8,19.0,0.0,0.0,0,825
2015-05-09,7,09,129,19,5,2,2015,60.4,56.3,1016.4,6.3,7.2,15.9,0.59,0.0,0,685
2015-05-23,7,23,143,21,5,2,2015,65.7,37.6,1025.2,10.0,6.7,11.1,0.0,0.0,0,798
2015-06-06,7,06,157,23,6,2,2015,62.4,51.4,1020.0,9.9,9.6,14.0,0.0,0.0,0,758
2015-06-18,5,18,169,25,6,2,2015,74.5,67.1,1013.2,7.1,7.8,22.0,0.33,0.0,1,768
2015-06-20,7,20,171,25,6,2,2015,67.4,57.1,1011.5,10.0,5.9,14.0,0.0,0.0,0,766
2015-06-24,4,24,175,26,6,2,2015,72.3,57.4,1019.1,10.0,5.0,9.9,0.0,0.0,0,727
2015-06-27,7,27,178,26,6,2,2015,66.5,54.0,1014.4,9.7,9.2,14.0,0.7,0.0,0,723
2015-06-28,1,28,179,26,6,2,2015,70.0,51.7,1012.1,10.0,5.0,14.0,0.0,0.0,0,797
2015-06-29,2,29,180,27,6,2,2015,70.6,63.0,1008.6,9.3,4.4,8.0,0.02,0.0,0,750
2015-06-30,3,30,181,27,6,2,2015,70.7,62.3,1008.4,8.5,6.6,15.0,0.06,0.0,0,748
2015-07-09,5,09,190,28,7,3,2015,66.3,57.4,1014.2,5.9,7.2,11.1,0.04,0.0,0,671
2015-07-11,7,11,192,28,7,3,2015,73.7,57.2,1019.1,10.0,3.7,8.9,0.0,0.0,0,798
2015-07-20,2,20,201,30,7,3,2015,77.6,61.5,1009.2,10.0,5.8,12.0,0.0,0.0,0,778
2015-07-23,5,23,204,30,7,3,2015,77.7,56.0,1014.7,10.0,4.1,9.9,0.0,0.0,0,810
2015-07-24,6,24,205,30,7,3,2015,79.2,59.2,1014.9,10.0,6.0,15.0,0.0,0.0,0,867
2015-07-27,2,27,208,31,7,3,2015,80.3,64.2,1014.0,9.5,6.8,14.0,0.0,0.0,0,835
2015-07-28,3,28,209,31,7,3,2015,82.9,66.1,1013.8,10.0,6.8,14.0,0.0,0.0,0,767
2015-08-08,7,08,220,32,8,3,2015,78.1,62.0,1011.4,10.0,6.5,8.9,0.0,0.0,0,849
2015-08-09,1,09,221,32,8,3,2015,74.6,65.5,1013.6,7.2,4.3,8.9,0.0,0.0,0,745
2015-08-12,4,12,224,33,8,3,2015,72.7,57.4,1019.7,10.0,4.4,8.9,0.0,0.0,0,760
2015-08-14,6,14,226,33,8,3,2015,79.4,65.9,1017.6,10.0,8.3,11.1,0.0,0.0,0,808
2015-08-22,7,22,234,34,8,3,2015,75.3,55.5,1017.6,10.0,7.8,15.0,0.0,0.0,0,845
2015-08-27,5,27,239,35,8,3,2015,65.5,52.8,1021.3,9.9,3.8,9.9,0.0,0.0,0,764
2015-09-01,3,01,244,36,9,3,2015,80.8,69.8,1015.8,9.6,6.6,14.0,0.0,0.0,0,954
2015-09-05,7,05,248,36,9,3,2015,76.9,66.5,1017.4,9.9,6.2,11.1,0.0,0.0,0,765
2015-09-13,1,13,256,37,9,3,2015,60.3,44.0,1016.6,10.0,6.8,12.0,0.13,0.0,0,733
2015-09-14,2,14,257,38,9,3,2015,67.4,47.9,1016.6,10.0,9.3,17.1,0.0,0.0,0,790
2015-09-22,3,22,265,39,9,3,2015,67.8,50.7,1020.8,10.0,4.8,8.9,0.0,0.0,0,776
2015-09-23,4,23,266,39,9,3,2015,70.6,51.0,1023.2,10.0,4.6,11.1,0.0,0.0,0,833
2015-09-28,2,28,271,40,9,3,2015,72.4,62.9,1015.2,10.0,5.2,8.0,0.0,0.0,0,753
2015-09-30,4,30,273,40,9,3,2015,59.2,44.2,1021.3,10.0,15.2,20.0,0.0,0.0,0,677
2015-10-04,1,04,277,40,10,4,2015,53.4,46.3,1022.0,10.0,13.0,20.0,0.02,0.0,0,653
2015-10-15,5,15,288,42,10,4,2015,57.3,35.1,1015.8,10.0,9.5,18.1,0.0,0.0,0,816
2015-10-19,2,19,292,43,10,4,2015,57.7,29.0,1022.6,10.0,13.2,21.0,0.0,0.0,0,787
2015-10-29,5,29,302,44,10,4,2015,42.2,31.5,1004.2,10.0,15.2,20.0,0.06,0.0,0,669
2015-11-05,5,05,309,45,11,4,2015,65.6,56.2,1015.8,9.4,10.1,19.0,0.0,0.0,0,754
2015-11-14,7,14,318,46,11,4,2015,42.3,25.6,1024.6,10.0,7.0,14.0,0.0,0.0,0,696
2015-11-18,4,18,322,47,11,4,2015,60.1,49.2,1001.9,9.1,17.0,22.0,0.44,0.0,0,683
2015-11-21,7,21,325,47,11,4,2015,33.6,30.1,1021.0,2.8,10.3,22.0,0.3,3.9,1,528
2015-11-24,3,24,328,48,11,4,2015,34.7,27.1,1025.6,9.5,4.0,11.1,0.0,1.2,0,607
2015-11-27,6,27,331,48,11,4,2015,47.6,42.1,1024.6,5.5,13.8,20.0,1.02,0.0,0,613
2015-11-28,7,28,332,48,11,4,2015,39.0,29.3,1029.4,10.0,12.3,15.9,0.09,0.0,0,658
2015-12-09,4,09,343,50,12,4,2015,48.2,39.8,1006.7,8.7,7.8,13.0,0.0,0.0,0,685
2015-12-12,7,12,346,50,12,4,2015,55.3,49.8,1011.7,4.7,4.2,7.0,0.0,0.0,0,751
2015-12-24,5,24,358,52,12,4,2015,43.2,33.3,1007.0,10.0,14.3,35.0,0.84,0.0,0,675
2015-12-25,6,25,359,52,12,4,2015,41.2,32.6,1022.6,9.9,6.4,12.0,0.0,0.0,0,497
2015-03-28,7,28,87,13,3,1,2015,29.2,10.7,1026.6,10.0,6.2,12.0,0.0,0.0,0,657
2015-07-10,6,10,191,28,7,3,2015,71.5,57.0,1018.1,9.0,4.3,8.0,0.0,0.0,0,739
2015-07-30,5,30,211,31,7,3,2015,80.0,54.5,1015.7,10.0,9.5,15.0,0.0,0.0,0,775
2016-11-17,5,17,322,46,11,4,2016,58.2,45.4,1010.5,8.8,9.8,18.1,0.0,0.0,0,810
2016-10-19,4,19,293,42,10,4,2016,62.3,48.0,1016.7,10.0,3.5,9.9,0.0,0.0,0,711
2016-07-06,4,06,188,27,7,3,2016,79.1,66.8,1009.0,9.0,7.6,15.0,0.0,0.0,1,742
2016-01-10,1,10,10,1,1,1,2016,20.6,13.1,1013.5,8.7,15.6,20.0,0.27,1.2,0,597
2016-02-22,2,22,53,8,2,1,2016,36.7,25.5,1022.8,10.0,4.2,9.9,0.0,0.0,0,639
2016-05-31,3,31,152,22,5,2,2016,73.4,56.9,1014.3,9.5,7.9,24.1,0.0,0.0,0,756
2016-03-05,7,05,65,9,3,1,2016,34.6,27.1,1019.3,6.4,8.0,13.0,0.03,1.2,0,699
2016-08-19,6,19,232,33,8,3,2016,76.6,65.6,1012.1,10.0,7.2,22.9,1.2,0.0,0,793
2016-04-01,6,01,92,13,4,2,2016,45.1,36.9,1005.6,9.8,8.1,20.0,0.05,0.0,0,826
2016-07-04,2,04,186,27,7,3,2016,71.9,59.8,1012.2,9.6,6.1,9.9,0.0,0.0,0,847
2016-10-11,3,11,285,41,10,4,2016,66.5,48.3,1021.6,10.0,8.0,14.0,0.0,0.0,0,697
2016-05-30,2,30,151,22,5,2,2016,75.9,57.2,1014.8,10.0,6.1,11.1,0.0,0.0,0,820
2016-09-13,3,13,257,37,9,3,2016,74.4,58.4,1016.4,10.0,7.8,14.0,0.0,0.0,0,786
2016-04-04,2,04,95,14,4,2,2016,40.4,28.1,1014.4,8.9,16.0,22.0,0.0,0.0,0,660
2016-09-07,4,07,251,36,9,3,2016,85.1,71.6,1014.2,10.0,9.5,15.9,0.0,0.0,0,723
2016-03-06,1,06,66,9,3,1,2016,40.8,29.1,1023.0,9.6,8.9,18.1,0.0,0.0,0,714
2016-08-04,5,04,217,31,8,3,2016,83.5,65.3,1013.6,9.9,5.6,9.9,0.0,0.0,0,793
2016-01-26,3,26,26,4,1,1,2016,33.5,27.0,1012.9,7.3,14.3,22.0,0.06,0.0,0,640
2016-06-25,7,25,177,25,6,2,2016,79.5,61.5,1017.0,10.0,7.2,12.0,0.0,0.0,0,812
2016-04-24,1,24,115,16,4,2,2016,59.6,42.6,1015.3,10.0,7.0,13.0,0.0,0.0,0,755
2016-09-21,4,21,265,38,9,3,2016,73.1,62.1,1019.8,10.0,7.5,19.0,0.0,0.0,0,731
2016-06-23,5,23,175,25,6,2,2016,72.3,65.8,1009.9,7.6,7.6,27.0,0.69,0.0,1,800
2016-07-05,3,05,187,27,7,3,2016,77.2,64.5,1010.6,8.9,6.3,12.0,0.0,0.0,0,895
2016-06-09,5,09,161,23,6,2,2016,63.9,50.8,1015.6,10.0,6.4,12.0,0.0,0.0,0,725
2016-02-01,2,01,32,5,2,1,2016,37.1,30.2,1014.8,9.5,5.4,14.0,0.02,0.0,0,852
2016-02-15,2,15,46,7,2,1,2016,22.5,17.7,1014.1,4.0,6.9,11.1,0.01,1.2,0,553
2016-09-02,6,02,246,35,9,3,2016,69.8,55.5,1023.1,10.0,9.1,13.0,0.0,0.0,0,799
2016-06-06,2,06,158,23,6,2,2016,73.0,53.1,1003.9,9.8,10.2,21.0,0.18,0.0,0,792
2016-12-13,3,13,348,50,12,4,2016,18.4,8.3,1022.4,8.0,7.0,12.0,0.0,3.1,0,574
2016-10-17,2,17,291,42,10,4,2016,73.6,63.9,1004.7,10.0,12.6,19.0,0.0,0.0,0,817
2016-03-08,3,08,68,10,3,1,2016,63.2,48.0,1011.6,10.0,12.2,19.0,0.0,0.0,0,723
2016-11-28,2,28,333,48,11,4,2016,46.3,40.2,1002.5,7.7,13.3,19.0,0.36,0.0,0,693
2016-05-11,4,11,132,19,5,2,2016,60.4,56.8,1015.6,3.2,5.4,8.9,0.35,0.0,1,758
2016-12-27,3,27,362,52,12,4,2016,29.9,18.2,1020.0,10.0,13.2,19.0,0.02,0.0,0,663
2016-04-20,4,20,111,16,4,2,2016,61.5,40.7,1018.7,10.0,9.2,14.0,0.0,0.0,0,689
2016-06-26,1,26,178,25,6,2,2016,82.8,67.8,1014.1,9.8,8.7,13.0,0.0,0.0,0,774
2016-11-21,2,21,326,47,11,4,2016,32.0,17.5,1027.1,10.0,4.5,7.0,0.0,0.0,0,682
2016-10-24,2,24,298,43,10,4,2016,54.3,40.9,1024.6,10.0,8.4,13.0,0.0,0.0,0,769
2016-09-15,5,15,259,37,9,3,2016,70.8,57.5,1022.3,10.0,7.4,13.0,0.0,0.0,0,823
2016-03-21,2,21,81,12,3,1,2016,40.1,22.9,1021.3,10.0,4.8,8.0,0.0,0.0,0,698
2016-03-31,5,31,91,13,3,1,2016,60.9,54.0,995.8,8.8,15.2,22.0,0.39,0.0,0,753
2016-12-29,5,29,364,52,12,4,2016,35.0,24.6,1010.8,10.0,13.4,18.1,0.0,0.0,0,647
2016-07-15,6,15,197,28,7,3,2016,72.6,58.3,1013.7,10.0,8.5,13.0,0.0,0.0,0,846
2016-10-02,1,02,276,39,10,4,2016,61.9,56.7,1017.0,8.4,6.0,8.9,1.29,0.0,0,707
2016-04-10,1,10,101,14,4,2,2016,39.1,26.7,1015.6,8.9,11.8,17.1,0.01,0.0,0,704
2016-02-26,6,26,57,8,2,1,2016,32.7,15.3,1023.8,10.0,10.1,18.1,0.0,0.0,0,740
2016-10-13,5,13,287,41,10,4,2016,49.6,37.0,1025.2,10.0,6.6,14.0,0.5,0.0,0,693
2016-03-10,5,10,70,10,3,1,2016,50.1,40.1,1017.5,9.9,7.9,14.0,0.0,0.0,0,716
2016-12-19,2,19,354,51,12,4,2016,2.2,-8.8,1041.8,10.0,8.1,14.0,0.0,3.1,0,660
2016-09-19,2,19,263,38,9,3,2016,74.9,55.0,1015.1,10.0,7.6,15.0,0.0,0.0,0,712
2016-10-23,1,23,297,42,10,4,2016,58.0,44.3,1014.1,10.0,8.2,19.0,0.0,0.0,0,785
2016-03-01,3,01,61,9,3,1,2016,29.8,22.8,1013.9,7.8,16.2,22.0,0.05,0.0,1,817
2016-12-03,7,03,338,48,12,4,2016,34.5,22.1,1028.1,10.0,6.3,8.9,0.0,0.0,0,758
2016-04-30,7,30,121,17,4,2,2016,46.6,40.1,1017.7,7.0,11.6,21.0,0.0,0.0,0,605
2016-07-16,7,16,198,28,7,3,2016,69.3,55.7,1019.1,10.0,6.4,11.1,0.01,0.0,0,780
2016-06-28,3,28,180,26,6,2,2016,69.3,52.9,1019.0,10.0,10.4,15.9,0.0,0.0,0,767
2016-01-29,6,29,29,4,1,1,2016,30.5,14.5,1013.8,10.0,9.0,14.0,0.0,0.0,0,745
2016-05-07,7,07,128,18,5,2,2016,65.1,40.7,1007.6,10.0,12.2,26.0,0.0,0.0,0,743
2016-05-18,4,18,139,20,5,2,2016,54.2,36.6,1023.6,10.0,6.4,13.0,0.01,0.0,0,801
2016-11-06,1,06,311,44,11,4,2016,58.3,46.0,1026.9,10.0,3.5,7.0,0.0,0.0,0,753
2016-08-07,1,07,220,31,8,3,2016,75.6,58.4,1015.9,10.0,5.1,11.1,0.0,0.0,0,838
2016-03-11,6,11,71,10,3,1,2016,44.1,33.0,1027.0,10.0,5.4,8.9,0.0,0.0,0,732
2016-06-17,6,17,169,24,6,2,2016,72.5,54.2,1016.2,10.0,9.1,15.9,0.0,0.0,0,829
2016-06-16,5,16,168,24,6,2,2016,75.2,62.0,1006.9,10.0,10.0,15.0,0.1,0.0,0,821
2016-01-09,7,09,9,1,1,1,2016,40.5,37.2,1009.1,3.0,6.2,9.9,0.18,0.0,1,650
2016-04-21,5,21,112,16,4,2,2016,62.8,52.1,1010.6,7.1,6.4,15.9,0.35,0.0,0,714
2016-09-17,7,17,261,37,9,3,2016,74.8,62.9,1011.8,9.8,8.8,15.9,0.06,0.0,0,833
2016-10-07,6,07,281,40,10,4,2016,67.0,56.7,1016.7,10.0,9.3,15.0,0.7,0.0,0,863
2016-06-07,3,07,159,23,6,2,2016,64.0,48.0,1008.6,10.0,9.6,15.0,0.0,0.0,0,754
2016-01-27,4,27,27,4,1,1,2016,29.1,16.6,1023.3,10.0,9.8,14.0,0.0,0.0,0,669
2016-05-19,5,19,140,20,5,2,2016,57.5,32.0,1022.8,10.0,4.2,8.9,0.0,0.0,0,764
2016-07-08,6,08,190,27,7,3,2016,78.6,66.6,1008.4,7.9,7.5,18.1,0.04,0.0,1,790
2016-09-20,3,20,264,38,9,3,2016,77.3,55.2,1018.6,10.0,7.8,13.0,0.0,0.0,0,792
2016-07-25,2,25,207,30,7,3,2016,79.6,65.3,1013.6,10.0,8.3,13.0,0.17,0.0,0,827
2016-04-11,2,11,102,15,4,2,2016,49.3,37.6,1011.5,7.9,9.7,18.1,0.12,0.0,0,676
2016-12-16,6,16,351,50,12,4,2016,14.4,2.6,1026.0,8.9,7.2,12.0,0.0,3.1,0,695
2016-09-28,4,28,272,39,9,3,2016,57.3,45.9,1009.8,9.7,9.4,20.0,0.01,0.0,0,634
2016-12-12,2,12,347,50,12,4,2016,27.0,21.1,1016.4,6.3,9.5,15.0,0.28,3.1,1,629
2016-07-13,4,13,195,28,7,3,2016,79.1,68.3,1011.3,10.0,7.9,15.9,0.0,0.0,0,726
2016-10-09,1,09,283,40,10,4,2016,56.7,44.8,1026.1,10.0,6.2,12.0,0.0,0.0,0,682
2016-10-15,7,15,289,41,10,4,2016,61.4,53.0,1016.9,9.1,10.0,14.0,0.0,0.0,0,823
2016-02-16,3,16,47,7,2,1,2016,29.2,22.3,1011.1,5.8,3.6,8.0,0.0,1.2,0,625
2016-05-06,6,06,127,18,5,2,2016,61.6,40.6,1013.8,10.0,5.4,11.1,0.0,0.0,0,794
2016-11-24,5,24,329,47,11,4,2016,41.3,35.5,1020.4,7.7,8.2,13.0,0.11,0.0,0,534
2016-08-06,7,06,219,31,8,3,2016,76.6,61.0,1013.5,10.0,6.7,11.1,0.0,0.0,0,828
2016-01-28,5,28,28,4,1,1,2016,35.7,26.0,1007.7,9.9,13.4,19.0,0.0,0.0,0,751
2016-07-29,6,29,211,30,7,3,2016,75.3,69.1,1012.0,7.5,5.9,12.0,0.15,0.0,0,801
2016-12-24,7,24,359,51,12,4,2016,35.8,31.2,1021.6,5.3,5.2,11.1,0.05,1.2,0,604
2016-09-18,1,18,262,37,9,3,2016,72.0,54.6,1013.7,10.0,3.6,6.0,0.03,0.0,0,781
2016-05-16,2,16,137,20,5,2,2016,57.1,33.8,1019.8,10.0,10.2,15.0,0.0,0.0,0,782
2016-02-12,6,12,43,6,2,1,2016,21.0,5.2,1024.6,9.8,10.4,22.0,0.0,0.0,0,645
2016-11-09,4,09,314,45,11,4,2016,51.5,35.6,1025.9,10.0,8.8,20.0,0.01,0.0,0,679
2016-12-09,6,09,344,49,12,4,2016,23.8,13.8,1033.7,10.0,9.4,12.0,0.0,0.0,0,668
2016-07-22,6,22,204,29,7,3,2016,81.1,70.9,1014.5,9.4,7.7,21.0,0.74,0.0,0,791
2016-03-18,6,18,78,11,3,1,2016,42.9,26.6,1016.9,10.0,9.1,15.9,0.0,0.0,0,791
2016-04-06,4,06,97,14,4,2,2016,46.3,36.0,1008.5,8.4,10.6,15.0,0.08,0.0,0,660
2016-12-17,7,17,352,50,12,4,2016,23.1,17.2,1007.7,4.6,5.6,13.0,0.03,3.1,0,614
2016-08-26,6,26,239,34,8,3,2016,74.2,62.3,1019.0,10.0,5.0,8.9,0.06,0.0,0,803
2016-12-08,5,08,343,49,12,4,2016,22.3,11.8,1025.6,9.6,15.0,19.0,0.0,0.0,0,606
2016-03-24,5,24,84,12,3,1,2016,38.7,36.8,1004.1,3.5,9.4,20.0,0.17,0.0,1,677
2016-01-23,7,23,23,3,1,1,2016,30.0,19.0,1024.0,9.7,6.5,14.0,0.01,1.2,0,722
