weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
1,2,2007-01-14,22,128,195,3,11,4,80,167,44,46,39,3,7,54,0,2,48,0,11,0,0,1,0,0,0,0,0,0,0,122,4,0,991
2,3,2007-01-15,24,107,136,1,6,3,84,180,55,40,40,4,5,46,1,1,33,0,9,0,3,0,2,0,0,0,0,0,0,166,2,0,948
3,3,2007-01-16,45,100,150,2,7,2,83,193,40,39,50,11,18,85,1,3,60,1,28,1,2,0,2,0,0,0,0,0,0,148,4,0,1075
4,3,2007-01-17,36,116,160,1,3,4,68,182,34,36,54,4,13,71,1,1,62,1,25,3,0,0,2,0,0,0,0,0,0,138,2,0,1017
5,3,2007-01-18,40,104,167,1,5,5,89,195,49,39,54,10,14,70,0,3,55,2,24,2,0,1,5,0,0,0,0,0,0,186,2,0,1122
6,3,2007-01-19,45,133,174,2,9,1,74,238,48,40,56,12,17,62,1,8,68,0,23,1,0,2,1,0,0,0,0,0,0,159,2,0,1176
7,3,2007-01-20,27,144,188,0,8,7,70,206,43,30,53,7,14,60,2,7,51,0,15,0,1,0,2,1,0,0,0,0,0,181,2,0,1119
1,3,2007-01-21,21,132,202,3,8,0,63,158,36,20,46,2,5,31,1,6,52,3,3,0,1,3,4,0,0,0,0,0,0,86,5,0,891
2,4,2007-01-22,35,96,175,2,4,7,52,213,42,40,53,6,10,60,1,2,62,1,16,0,0,3,1,0,0,0,0,0,0,169,4,0,1054
3,4,2007-01-23,37,95,161,1,4,5,68,208,48,37,45,12,4,50,0,1,50,1,23,1,1,2,4,0,0,0,0,0,0,149,4,0,1011
4,4,2007-01-24,37,97,188,0,3,4,89,205,35,23,50,7,5,49,1,3,65,0,18,3,0,1,0,0,0,0,0,0,0,169,3,0,1055
5,4,2007-01-25,40,97,182,1,6,1,64,201,52,26,56,14,12,91,1,6,54,1,20,1,1,4,0,0,0,0,0,0,0,180,3,0,1114
6,4,2007-01-26,57,147,181,0,8,5,70,225,38,33,57,8,18,66,0,5,47,0,20,0,0,2,0,0,0,0,0,0,0,178,2,0,1167
7,4,2007-01-27,29,120,197,0,2,3,76,209,46,52,55,5,7,43,0,2,59,0,9,2,2,2,2,0,0,0,0,0,0,167,7,0,1096
1,4,2007-01-28,18,108,183,0,11,2,92,129,28,38,38,2,5,32,0,3,39,3,9,0,1,0,1,0,0,0,0,0,0,119,4,0,865
2,5,2007-01-29,29,103,133,4,6,3,75,192,33,23,47,7,11,74,1,0,54,0,22,0,0,1,1,0,0,0,0,0,0,137,5,0,961
3,5,2007-01-30,33,84,141,2,6,6,77,188,45,17,50,2,10,59,1,4,69,2,16,1,0,0,1,0,0,0,0,0,0,192,4,0,1010
4,5,2007-01-31,34,88,184,2,9,0,47,186,29,36,47,7,11,44,0,3,50,1,11,0,1,0,0,0,0,0,0,0,0,147,3,0,940
5,5,2007-02-01,57,94,170,2,7,9,105,281,34,32,59,10,4,48,1,2,67,1,23,1,2,2,1,0,0,0,0,0,0,164,2,0,1178
6,5,2007-02-02,40,103,187,0,11,4,77,193,35,21,40,7,9,53,2,8,54,0,22,7,2,1,0,0,0,0,0,0,0,175,3,0,1054
7,5,2007-02-03,29,118,164,2,8,3,79,165,27,26,47,1,4,32,1,1,35,0,7,0,1,0,0,0,0,0,0,0,0,126,4,0,880
1,5,2007-02-04,17,105,209,1,9,3,58,116,17,30,47,7,2,25,1,0,41,1,1,0,0,0,2,0,0,0,0,0,0,60,2,0,754
2,6,2007-02-05,35,81,175,0,5,3,60,137,39,25,64,9,4,29,0,1,47,0,13,0,0,1,0,0,0,0,0,0,0,103,5,0,836
3,6,2007-02-06,31,89,140,0,6,4,60,127,34,25,44,6,10,41,1,4,44,1,24,2,0,0,1,0,0,0,0,0,0,154,1,0,849
4,6,2007-02-07,48,82,158,1,7,3,59,181,40,24,35,4,6,48,3,1,59,0,35,1,0,1,1,0,0,0,0,0,0,168,3,0,968
5,6,2007-02-08,22,85,159,0,8,1,67,190,38,20,44,8,11,50,0,3,58,1,19,1,0,3,1,0,0,0,0,0,0,149,3,0,941
6,6,2007-02-09,33,103,164,1,6,2,73,187,45,40,49,11,6,43,0,6,50,0,25,0,0,0,1,0,0,0,0,0,0,172,5,0,1022
7,6,2007-02-10,33,97,160,4,8,2,72,161,30,28,63,3,8,45,0,3,52,1,16,1,0,4,1,0,0,0,0,0,0,149,1,0,942
1,6,2007-02-11,20,92,172,1,7,1,55,125,27,27,50,3,5,47,1,4,54,0,7,0,0,1,1,0,0,0,0,0,0,145,4,0,849
2,7,2007-02-12,30,81,143,0,9,3,70,155,40,33,58,5,8,54,0,2,47,1,10,0,0,0,1,0,0,0,0,0,0,147,2,0,899
3,7,2007-02-13,26,90,128,0,1,4,54,158,33,24,37,4,3,42,2,0,55,0,20,0,1,2,2,1,0,0,0,0,0,85,2,0,774
4,7,2007-02-14,28,73,118,1,5,4,68,138,37,18,37,6,13,52,0,6,53,0,29,0,1,0,0,0,0,0,0,0,0,138,2,0,827
5,7,2007-02-15,31,80,158,0,6,2,76,166,38,20,40,8,5,60,0,0,56,0,38,0,1,0,0,0,0,0,0,0,0,155,5,0,945
6,7,2007-02-16,25,84,217,1,7,2,67,185,37,27,44,8,4,61,1,4,61,0,30,0,0,0,1,0,0,0,0,0,0,134,4,0,1004
7,7,2007-02-17,30,88,167,2,11,3,63,138,31,17,46,6,5,34,0,3,60,3,16,0,0,0,1,0,0,0,0,0,0,179,6,0,909
1,7,2007-02-18,11,96,199,3,2,3,63,110,32,22,43,7,1,30,0,5,41,0,5,0,0,1,2,0,0,0,0,0,0,134,4,0,814
2,8,2007-02-19,41,109,139,3,3,1,72,195,41,29,43,12,8,50,0,3,47,1,14,0,0,1,0,0,0,0,0,0,0,147,3,0,962
3,8,2007-02-20,45,93,193,0,5,4,82,209,32,46,47,6,14,61,1,2,74,1,43,2,0,0,2,0,0,0,0,0,0,201,3,0,1166
4,8,2007-02-21,36,119,202,4,6,3,82,219,53,28,49,14,8,59,1,4,69,0,30,0,1,0,0,0,0,0,0,0,0,176,2,0,1165
5,8,2007-02-22,46,97,207,3,4,3,71,182,49,26,45,14,9,50,0,1,75,1,28,4,0,3,2,0,0,0,0,0,0,177,3,0,1100
6,8,2007-02-23,36,155,226,2,6,3,80,233,40,40,42,10,11,64,1,6,69,1,29,1,0,0,1,0,0,0,0,0,0,239,5,0,1300
7,8,2007-02-24,22,116,190,1,7,3,80,184,30,28,42,8,1,53,0,0,56,1,18,1,1,1,1,0,0,0,0,0,0,140,6,0,990
1,8,2007-02-25,18,92,170,1,5,5,68,151,34,19,47,1,8,39,0,3,43,2,8,0,0,0,2,0,0,0,0,0,0,140,4,0,860
2,9,2007-02-26,30,116,154,6,9,6,65,180,26,32,42,11,12,58,1,3,44,1,12,0,0,0,0,0,0,0,0,0,0,142,5,0,955
3,9,2007-02-27,32,110,211,0,2,5,92,185,32,37,53,10,9,52,1,0,74,2,16,0,1,0,1,0,0,0,0,0,0,163,4,0,1092
4,9,2007-02-28,37,110,192,2,4,3,89,178,36,35,61,9,9,59,3,2,70,3,7,0,0,0,1,0,0,0,0,0,0,190,2,0,1102
5,9,2007-03-01,56,102,197,2,19,11,117,276,30,22,54,19,9,47,0,2,75,0,18,0,0,3,2,0,0,0,0,0,0,156,13,0,1230
6,9,2007-03-02,50,124,199,1,14,6,78,239,43,34,51,8,11,72,0,4,53,1,24,0,1,1,1,0,0,0,0,0,0,174,1,0,1190
7,9,2007-03-03,37,109,214,2,8,4,80,188,51,24,51,7,5,38,0,5,59,2,15,1,0,1,2,0,0,0,0,0,0,224,10,0,1137
1,9,2007-03-04,25,125,205,0,7,1,86,154,31,20,46,6,13,41,2,0,60,1,5,1,0,1,2,0,0,0,0,0,0,162,6,0,1000
2,10,2007-03-05,42,100,145,0,7,3,83,167,29,26,50,1,6,51,2,1,51,0,14,1,2,1,1,0,0,0,0,0,0,176,1,0,960
3,10,2007-03-06,36,97,156,3,6,3,72,171,27,34,49,9,4,53,0,1,56,0,23,2,2,4,1,0,0,0,0,0,0,160,0,0,969
4,10,2007-03-07,41,112,199,0,3,4,87,175,45,35,42,7,11,49,2,3,83,0,18,1,0,1,0,0,0,0,0,0,0,170,5,0,1093
5,10,2007-03-08,43,115,178,1,13,3,89,212,61,27,42,8,8,50,0,8,77,0,31,3,0,1,0,0,0,0,0,0,0,155,3,0,1128
6,10,2007-03-09,49,164,232,2,7,4,87,235,39,31,46,7,6,69,0,10,76,0,22,1,0,2,6,0,0,0,0,0,0,154,2,0,1251
7,10,2007-03-10,30,178,233,1,9,2,91,201,38,31,58,11,9,53,2,5,66,7,17,3,0,1,5,0,0,0,0,0,0,173,3,0,1227
1,10,2007-03-11,19,219,273,1,10,1,57,155,28,30,49,4,11,51,0,4,62,0,12,2,1,0,2,0,0,0,0,0,0,95,7,0,1093
2,11,2007-03-12,38,158,250,3,7,6,88,202,44,39,39,7,11,70,0,3,94,2,18,2,0,1,1,0,0,0,0,0,0,184,4,0,1271
3,11,2007-03-13,35,185,266,3,1,5,71,218,37,31,32,16,14,56,0,12,88,1,20,3,0,1,2,0,0,0,0,0,0,181,5,0,1283
4,11,2007-03-14,34,165,194,4,8,7,76,234,41,37,47,4,10,52,2,1,84,0,16,2,0,0,3,0,0,0,0,0,0,138,4,0,1163
5,11,2007-03-15,51,126,210,0,6,1,86,229,33,33,48,10,7,65,3,1,87,1,14,1,1,0,3,0,0,0,0,0,0,162,3,0,1181
6,11,2007-03-16,35,150,198,4,13,5,79,270,34,34,51,10,9,69,2,6,78,3,19,1,2,0,2,0,0,0,0,0,0,190,3,0,1267
7,11,2007-03-17,40,133,223,0,7,2,74,199,34,32,52,9,9,51,1,3,59,1,8,2,0,1,3,0,0,0,0,0,0,161,2,0,1106
1,11,2007-03-18,18,170,244,2,9,3,65,187,33,40,42,15,5,45,0,2,57,0,3,2,0,1,2,0,0,0,0,0,0,137,5,0,1087
2,12,2007-03-19,50,144,210,5,6,2,66,218,29,48,49,12,9,60,0,3,69,2,10,3,0,3,4,0,0,0,0,0,0,132,2,0,1136
3,12,2007-03-20,46,156,224,1,2,2,76,239,33,35,60,18,9,69,1,1,76,1,15,3,0,2,4,0,0,0,0,0,0,121,1,0,1195
4,12,2007-03-21,41,110,237,2,4,5,69,227,27,44,53,14,16,52,0,2,83,4,15,2,0,1,0,0,0,0,0,0,0,140,1,0,1149
5,12,2007-03-22,33,141,256,1,7,9,70,214,45,35,45,11,11,62,2,4,88,0,28,2,1,0,2,0,0,0,0,0,0,164,1,0,1232
6,12,2007-03-23,44,164,216,1,15,6,74,254,37,32,45,11,22,73,0,9,64,3,18,4,0,3,1,0,0,0,0,0,0,176,1,0,1273
7,12,2007-03-24,36,156,224,4,5,4,85,219,45,48,50,7,14,63,1,6,78,0,5,4,1,1,1,0,0,0,0,0,0,147,6,0,1210
1,12,2007-03-25,21,176,307,4,6,6,70,175,27,34,53,12,20,42,0,6,89,3,10,5,2,1,2,0,0,0,0,0,0,135,5,0,1211
2,13,2007-03-26,30,166,250,5,7,3,72,228,38,36,56,14,8,56,1,2,98,2,8,8,0,2,3,0,0,0,0,0,0,133,4,0,1230
3,13,2007-03-27,44,141,251,3,13,5,67,226,47,36,43,6,13,61,0,2,85,2,23,4,0,0,4,0,0,0,0,0,0,132,6,0,1214
4,13,2007-03-28,48,141,186,1,4,4,72,216,51,37,50,9,11,58,0,4,80,2,25,2,0,1,7,0,0,0,0,0,0,165,2,0,1176
5,13,2007-03-29,45,167,245,3,9,7,77,202,49,52,50,15,11,56,4,0,76,0,20,2,3,0,1,0,0,0,0,0,0,149,2,0,1245
6,13,2007-03-30,51,173,218,1,9,4,73,230,33,36,42,10,8,74,0,2,70,1,20,7,0,1,2,0,0,0,0,0,0,171,5,0,1241
7,13,2007-03-31,30,178,245,1,11,2,82,185,36,32,39,6,8,49,1,4,76,2,16,4,0,0,3,0,0,0,0,0,0,190,5,0,1205
1,13,2007-04-01,54,174,232,1,20,7,94,246,29,26,66,9,8,48,0,3,66,2,10,2,0,1,2,0,0,0,0,0,0,159,10,0,1269
2,14,2007-04-02,45,153,206,2,5,3,103,212,37,47,49,9,7,66,0,3,67,2,13,3,0,0,1,0,0,0,0,0,0,153,4,0,1190
3,14,2007-04-03,55,157,204,0,14,2,98,207,38,32,51,10,11,55,1,3,53,2,17,6,0,1,2,0,0,0,0,0,0,163,6,0,1188
4,14,2007-04-04,37,122,157,0,5,5,73,244,30,34,38,4,7,64,1,2,47,0,21,2,0,2,1,1,0,0,0,0,0,145,8,0,1050
5,14,2007-04-05,37,127,145,1,5,1,74,202,45,38,43,13,6,54,0,6,43,2,20,1,0,0,0,0,0,0,0,0,0,191,4,0,1058
6,14,2007-04-06,41,168,170,1,9,3,66,208,45,24,48,10,4,50,0,3,53,1,16,0,0,2,1,0,0,0,0,0,0,171,3,0,1097
7,14,2007-04-07,19,126,189,1,10,3,71,189,23,25,53,9,4,42,0,2,58,0,12,1,0,0,3,1,0,0,0,0,0,181,3,0,1025
1,14,2007-04-08,20,136,222,0,9,5,72,146,24,27,45,2,6,42,0,4,60,0,12,2,0,0,0,0,0,0,0,0,0,143,5,0,982
2,15,2007-04-09,39,142,188,4,13,0,91,210,34,33,45,7,11,56,1,1,80,2,16,2,1,1,0,0,0,0,0,0,0,151,5,0,1133
3,15,2007-04-10,38,117,193,0,4,5,92,245,52,25,51,11,5,70,1,5,73,1,30,1,0,1,2,0,0,0,0,0,0,162,2,0,1186
4,15,2007-04-11,39,95,169,3,5,4,98,209,37,39,41,3,10,64,0,3,77,0,19,2,1,3,1,0,0,0,0,0,0,147,4,0,1073
5,15,2007-04-12,40,171,204,1,5,3,66,210,38,39,65,14,8,64,0,1,72,0,16,1,1,0,1,0,0,0,0,0,0,141,5,0,1166
6,15,2007-04-13,50,179,244,1,11,5,96,215,26,48,55,14,10,76,2,3,65,0,21,4,0,0,1,0,0,0,0,0,0,192,5,0,1323
7,15,2007-04-14,20,189,257,3,6,2,87,209,47,50,45,6,15,66,1,1,58,2,9,4,0,0,5,0,0,0,0,0,0,156,5,0,1243
1,15,2007-04-15,30,189,245,4,7,2,86,227,47,45,54,6,3,64,1,2,68,3,5,0,1,0,3,0,0,0,0,0,0,130,7,0,1229
2,16,2007-04-16,43,164,230,0,8,5,68,256,37,28,43,9,8,89,0,4,78,1,10,2,0,2,1,0,0,0,0,0,0,115,5,0,1206
3,16,2007-04-17,28,152,259,2,9,2,81,232,47,41,61,11,10,79,1,3,84,1,19,3,0,1,3,0,0,0,0,0,0,160,5,0,1294
4,16,2007-04-18,40,162,192,9,12,3,76,232,41,44,44,7,10,51,1,1,53,1,21,1,0,3,1,0,0,0,0,0,0,163,1,0,1169
5,16,2007-04-19,39,152,186,6,5,7,75,229,38,39,42,8,10,66,0,3,88,2,17,5,1,1,4,0,0,0,0,0,0,172,1,0,1196
6,16,2007-04-20,34,190,263,4,9,2,76,295,34,43,45,10,12,56,0,6,106,2,18,10,0,1,2,0,0,0,0,0,0,182,2,0,1402
7,16,2007-04-21,32,162,288,4,7,6,70,216,31,36,48,5,9,48,1,3,67,3,35,7,2,1,2,0,0,0,0,0,0,190,7,0,1280
1,16,2007-04-22,25,184,322,2,18,5,70,198,39,35,49,22,7,50,0,5,93,2,9,5,0,1,2,0,0,0,0,0,0,125,6,0,1274
2,17,2007-04-23,49,174,246,0,15,1,93,232,45,43,55,16,11,82,0,5,79,1,7,3,0,2,4,0,0,0,0,0,0,125,6,0,1294
3,17,2007-04-24,37,131,224,4,6,4,76,214,28,40,44,16,13,81,3,3,82,1,17,5,0,0,1,1,0,0,0,0,0,142,6,0,1179
4,17,2007-04-25,34,119,161,0,8,3,57,234,41,35,45,12,5,71,0,1,81,0,24,3,0,3,2,0,0,0,0,0,0,130,5,0,1074
5,17,2007-04-26,34,106,177,5,9,2,59,207,34,30,60,6,10,67,0,3,57,3,24,7,0,1,2,0,0,0,0,0,0,133,3,0,1039
6,17,2007-04-27,44,157,236,2,9,4,68,237,39,43,49,17,12,86,1,3,78,0,24,5,1,1,1,0,0,1,0,0,0,167,4,0,1289
7,17,2007-04-28,35,185,272,1,8,9,73,240,35,56,40,9,13,42,2,4,85,0,8,5,1,1,1,0,0,0,0,0,0,189,4,0,1318
1,17,2007-04-29,23,170,304,1,3,7,62,177,31,52,42,12,11,51,1,4,80,2,9,5,0,0,1,0,0,0,0,0,0,121,5,0,1174
2,18,2007-04-30,48,136,221,3,8,10,76,233,43,52,48,9,12,67,1,0,94,0,4,4,2,1,2,0,0,0,0,0,0,160,5,0,1239
3,18,2007-05-01,67,158,230,1,18,7,117,328,41,53,57,11,17,56,2,4,95,1,14,4,2,0,2,1,0,0,0,0,0,120,11,0,1417
4,18,2007-05-02,38,141,235,1,1,6,88,241,47,44,46,9,9,65,1,3,91,1,18,7,0,1,4,0,0,0,0,0,0,182,1,0,1280
5,18,2007-05-03,43,170,224,1,8,8,80,208,38,39,51,15,9,64,1,8,94,1,18,6,0,2,1,0,0,0,0,0,0,184,4,0,1277
6,18,2007-05-04,52,176,241,5,6,5,68,239,54,49,53,21,11,69,3,6,77,0,39,10,1,0,2,0,0,0,0,0,0,163,5,0,1355
7,18,2007-05-05,36,178,249,3,6,2,89,226,44,53,45,10,7,54,0,4,56,2,13,9,2,0,1,0,0,0,0,0,0,145,5,0,1239
1,18,2007-05-06,29,199,293,0,8,7,74,172,31,46,38,7,5,47,0,0,79,0,2,6,1,0,3,0,0,0,0,0,0,89,6,0,1142
2,19,2007-05-07,52,143,241,0,6,1,83,237,38,42,65,11,7,84,2,4,109,4,8,8,0,0,2,0,0,0,0,0,0,154,5,0,1306
3,19,2007-05-08,32,168,236,2,7,4,72,207,45,44,40,12,15,59,2,6,104,1,19,13,1,4,4,0,0,0,0,0,0,186,3,0,1286
4,19,2007-05-09,41,160,277,2,9,11,94,230,46,41,43,10,12,80,2,3,90,2,22,5,0,0,1,0,0,0,0,0,0,169,3,0,1353
5,19,2007-05-10,49,172,248,1,5,11,74,228,49,38,54,19,10,71,2,4,102,2,22,9,1,3,1,0,0,0,0,0,0,154,3,0,1332
6,19,2007-05-11,39,177,233,0,12,6,72,251,44,44,51,14,10,84,3,6,85,0,25,6,1,1,3,0,0,0,0,0,0,150,5,0,1322
7,19,2007-05-12,25,197,230,2,9,3,62,227,41,54,54,11,11,57,2,6,74,0,16,3,1,0,3,0,0,0,0,0,0,119,6,0,1213
1,19,2007-05-13,15,179,257,3,3,4,78,181,19,38,51,8,5,57,1,1,72,1,18,8,1,0,1,0,0,0,0,0,0,107,3,0,1111
2,20,2007-05-14,43,170,270,3,4,7,76,240,46,49,49,13,7,89,1,3,92,1,21,1,1,1,2,0,0,0,0,0,0,150,7,0,1346
3,20,2007-05-15,39,132,237,4,15,4,93,302,38,39,55,13,6,79,1,3,87,3,25,3,0,2,1,0,0,0,0,0,0,150,3,0,1334
4,20,2007-05-16,42,133,214,1,10,7,65,249,50,37,46,7,11,77,0,1,92,0,26,5,0,0,1,0,0,0,0,0,0,188,0,0,1262
5,20,2007-05-17,50,151,224,2,12,4,66,270,45,39,56,12,13,87,4,1,99,1,28,3,3,1,0,0,0,0,0,0,0,142,4,0,1317
6,20,2007-05-18,52,190,259,6,8,4,72,283,32,40,58,12,10,67,0,4,82,0,25,8,0,4,5,0,0,0,0,0,0,154,2,0,1377
7,20,2007-05-19,30,180,260,3,12,7,69,237,36,52,57,13,7,65,0,2,87,1,9,10,0,0,1,0,0,0,0,0,0,137,2,0,1277
1,20,2007-05-20,28,152,276,1,10,6,69,206,33,35,56,5,8,67,1,3,86,2,2,2,1,1,4,0,0,0,0,0,0,107,4,0,1165
2,21,2007-05-21,32,155,232,1,5,6,65,245,48,32,67,15,18,100,1,1,92,0,10,3,1,0,3,0,0,0,0,0,0,124,5,0,1261
3,21,2007-05-22,37,139,267,1,10,3,73,258,55,42,40,8,10,82,1,6,82,2,28,8,0,0,1,0,0,0,0,0,0,147,3,0,1303
4,21,2007-05-23,31,172,259,2,8,4,71,250,54,47,55,12,18,74,0,2,109,1,27,5,1,1,5,0,0,0,0,0,0,147,5,0,1360
5,21,2007-05-24,31,161,305,1,8,7,78,255,52,35,45,12,9,81,0,9,104,0,18,5,1,1,2,0,0,0,0,0,0,170,7,0,1397
6,21,2007-05-25,46,186,252,1,6,4,69,308,41,39,52,17,12,87,2,4,92,3,25,4,3,2,3,0,0,0,0,0,0,150,9,0,1417
7,21,2007-05-26,33,168,221,1,11,2,52,226,35,35,53,7,16,57,0,5,58,3,7,1,0,0,1,0,0,0,0,0,0,131,7,0,1130
1,21,2007-05-27,20,172,298,2,7,6,64,207,23,65,55,7,16,59,2,3,70,0,5,6,1,3,2,0,0,0,0,0,0,133,5,0,1231
2,22,2007-05-28,18,193,333,4,12,2,65,212,39,40,47,14,10,62,1,5,87,1,6,4,2,0,4,0,0,0,0,0,0,133,4,0,1298
3,22,2007-05-29,43,166,292,2,10,5,71,266,40,50,55,10,8,95,0,4,84,1,19,6,0,1,6,0,0,0,0,0,0,158,4,0,1396
4,22,2007-05-30,45,169,250,1,10,5,85,239,50,41,50,12,14,73,1,4,110,0,31,7,1,0,1,0,0,0,0,0,0,157,2,0,1358
5,22,2007-05-31,40,135,228,0,8,6,79,217,43,43,56,6,7,85,1,2,91,0,16,1,0,0,0,0,0,0,0,0,0,162,2,0,1228
6,22,2007-06-01,91,145,236,2,18,17,98,391,40,44,65,15,12,73,1,2,72,3,51,6,2,2,2,0,0,0,0,0,0,178,16,0,1582
7,22,2007-06-02,25,155,305,5,6,6,74,262,37,44,53,8,7,53,1,7,84,2,19,11,0,3,4,0,0,0,0,0,0,149,7,0,1327
1,22,2007-06-03,23,156,322,0,6,6,70,201,36,35,65,10,6,50,0,2,84,1,14,12,0,0,1,0,0,0,0,0,0,128,3,0,1231
2,23,2007-06-04,42,143,210,1,6,7,75,241,23,45,62,9,4,96,0,0,66,3,10,6,0,1,1,0,0,0,0,0,0,129,5,0,1185
3,23,2007-06-05,47,137,181,0,5,5,59,234,38,50,52,10,10,77,0,2,84,2,15,3,0,1,4,0,0,0,0,0,0,165,4,0,1185
4,23,2007-06-06,40,142,233,6,8,5,87,236,30,52,40,5,12,73,0,3,101,0,14,8,0,2,1,0,0,0,0,0,0,146,4,0,1248
5,23,2007-06-07,47,163,253,0,12,13,77,213,43,31,42,9,12,75,0,5,79,2,22,2,1,1,1,0,0,0,0,0,0,150,4,0,1257
6,23,2007-06-08,31,158,281,1,4,6,74,267,37,44,49,9,11,84,3,11,83,0,18,7,0,0,3,0,0,0,0,0,0,137,4,0,1322
7,23,2007-06-09,26,147,300,1,3,6,75,233,39,33,43,16,5,54,0,4,95,1,21,7,0,0,2,0,0,0,0,0,0,155,4,0,1270
1,23,2007-06-10,19,145,326,5,7,5,60,211,28,43,58,12,10,61,0,5,72,3,0,8,0,0,4,0,0,0,0,0,0,141,9,0,1232
2,24,2007-06-11,50,160,262,3,4,2,64,240,38,54,59,16,10,81,1,3,78,3,7,8,0,1,4,0,0,0,0,0,0,145,9,0,1302
3,24,2007-06-12,36,156,279,1,8,1,66,240,43,47,49,17,19,68,1,5,84,3,19,7,0,1,2,0,0,0,0,0,0,129,7,0,1288
4,24,2007-06-13,53,174,210,3,12,10,81,257,31,37,48,14,12,85,0,2,75,1,24,9,0,1,4,0,0,0,0,0,0,145,3,0,1291
5,24,2007-06-14,44,149,236,1,7,5,81,271,41,39,62,6,11,80,0,7,77,1,20,7,0,0,5,0,0,0,0,0,0,168,2,0,1320
6,24,2007-06-15,57,140,285,1,7,6,99,303,34,45,67,14,14,93,1,7,95,0,29,4,0,2,4,0,0,0,0,0,0,145,7,0,1459
7,24,2007-06-16,23,164,310,2,6,6,69,265,51,48,57,15,10,65,2,8,79,4,7,2,1,1,5,0,0,0,0,0,0,127,4,0,1331
1,24,2007-06-17,27,170,364,3,14,6,66,235,18,51,55,13,13,53,0,2,78,2,6,3,0,1,6,0,0,0,0,0,0,107,6,0,1299
2,25,2007-06-18,40,172,292,0,1,9,82,257,34,36,51,5,14,81,0,1,84,3,13,4,1,1,4,0,0,0,0,0,0,136,5,0,1326
3,25,2007-06-19,39,147,237,4,6,5,78,277,39,45,54,7,9,80,1,3,76,1,21,4,0,1,2,0,0,0,0,0,0,141,2,0,1279
4,25,2007-06-20,48,147,256,0,12,7,78,296,35,34,54,9,14,78,1,4,92,0,17,11,2,1,5,0,0,0,0,0,0,165,5,0,1371
5,25,2007-06-21,42,178,239,4,12,3,82,288,33,51,53,12,7,62,0,3,101,2,22,11,1,0,3,0,0,0,0,0,0,151,5,0,1365
6,25,2007-06-22,57,188,254,1,8,3,68,251,39,57,65,7,6,93,1,4,81,1,13,12,0,0,5,0,0,0,0,0,0,170,3,0,1387
7,25,2007-06-23,37,157,248,5,4,1,78,223,46,65,47,4,12,59,1,1,72,0,10,6,0,0,1,0,0,0,0,0,0,137,2,0,1216
1,25,2007-06-24,22,190,295,0,10,5,72,237,38,58,52,9,9,63,0,6,75,1,4,10,2,2,2,0,0,0,0,0,0,131,2,0,1295
2,26,2007-06-25,45,154,222,1,4,3,98,254,49,46,48,13,10,77,2,0,83,2,8,7,0,0,1,0,0,0,0,0,0,145,1,0,1273
3,26,2007-06-26,49,125,226,3,8,5,65,249,38,39,41,12,13,67,1,4,75,2,26,5,0,1,2,0,0,0,0,0,0,140,4,0,1200
4,26,2007-06-27,45,162,222,1,8,3,72,251,52,47,58,5,6,89,0,3,83,2,20,4,0,1,2,0,0,0,0,0,0,161,3,0,1300
5,26,2007-06-28,49,169,215,1,10,5,69,252,40,39,53,6,6,69,1,4,66,0,31,3,2,0,1,0,0,0,0,0,0,178,4,0,1273
6,26,2007-06-29,40,160,222,1,11,7,64,256,38,51,72,13,8,77,0,5,67,1,26,11,1,1,0,0,0,0,0,0,0,197,6,0,1335
7,26,2007-06-30,31,146,243,3,11,1,69,222,34,55,65,10,9,58,0,5,74,1,10,14,0,2,1,0,0,0,0,0,0,180,4,0,1248
1,26,2007-07-01,53,192,269,2,10,9,122,327,41,49,56,16,13,64,1,4,90,1,7,4,1,0,6,0,0,0,0,0,0,155,17,0,1509
2,27,2007-07-02,46,171,193,4,3,4,81,278,27,52,46,12,8,93,0,3,84,0,8,9,4,0,0,0,0,0,0,0,0,171,1,0,1298
3,27,2007-07-03,42,128,199,4,3,7,75,287,32,54,48,11,7,60,0,3,79,4,13,4,0,0,3,0,0,0,0,0,0,159,6,0,1228
4,27,2007-07-04,28,165,355,6,9,1,70,226,30,34,35,9,7,61,2,4,94,2,20,4,0,0,3,0,0,0,0,0,0,125,11,0,1301
5,27,2007-07-05,47,172,317,2,10,3,68,246,29,48,54,7,14,65,1,2,95,3,20,6,0,1,3,0,0,0,0,0,0,145,6,0,1364
6,27,2007-07-06,40,163,249,0,6,9,76,282,41,48,51,11,8,87,0,4,86,0,22,5,1,1,3,0,0,0,0,0,0,154,6,0,1353
