weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2,6,2001-02-05,46,147,219,0,7,5,108,261,37,42,65,5,11,78,0,4,92,1,9,2,2,1,1,0,0,0,0,0,0,166,4,0,1313
3,6,2001-02-06,39,97,218,0,5,8,98,223,50,38,58,7,17,47,0,1,89,0,19,1,2,1,1,0,0,0,0,0,0,172,4,0,1195
4,6,2001-02-07,56,110,182,3,4,7,85,265,41,33,54,11,16,62,1,8,85,0,27,0,0,1,1,0,0,1,0,0,0,185,7,0,1245
5,6,2001-02-08,46,125,239,2,9,4,73,263,43,39,67,3,16,58,2,4,86,0,16,2,2,0,3,0,0,0,0,0,0,135,5,0,1242
6,6,2001-02-09,49,162,211,2,7,4,84,272,34,45,65,3,10,68,0,9,63,4,15,0,0,2,0,0,0,0,0,0,0,171,5,0,1285
7,6,2001-02-10,37,98,212,0,2,1,93,224,33,40,59,3,9,66,0,3,56,0,21,1,0,2,3,0,0,0,0,0,0,123,3,0,1089
1,6,2001-02-11,23,133,221,2,5,4,70,233,25,45,58,5,11,39,0,0,49,2,6,1,0,1,3,0,0,0,0,0,0,102,11,0,1049
2,7,2001-02-12,46,146,201,0,7,6,101,212,55,57,77,5,10,61,1,4,71,1,12,5,0,1,2,0,0,0,0,0,0,147,7,0,1235
3,7,2001-02-13,46,125,211,0,4,11,95,252,47,36,59,7,7,61,1,2,83,0,10,1,0,0,3,0,0,0,0,0,0,177,3,0,1241
4,7,2001-02-14,53,121,173,0,4,14,123,243,40,55,61,7,12,62,1,7,74,2,15,2,0,4,0,0,0,0,0,0,0,153,2,0,1228
5,7,2001-02-15,48,149,222,0,6,6,102,239,41,40,71,5,16,54,2,9,80,2,25,0,0,2,1,0,0,0,0,0,0,170,4,0,1294
6,7,2001-02-16,49,143,222,0,5,5,66,243,38,38,60,16,7,61,0,4,73,1,18,0,1,4,2,0,0,0,0,0,0,152,5,0,1213
7,7,2001-02-17,34,125,229,1,4,7,68,211,30,30,66,4,9,45,1,5,66,0,13,0,0,3,3,0,0,0,0,0,0,123,1,0,1078
1,7,2001-02-18,20,132,242,2,6,5,66,221,23,51,61,2,3,35,1,1,54,1,6,3,2,3,0,0,0,0,0,0,0,133,7,0,1080
2,8,2001-02-19,24,144,179,0,4,3,81,234,44,44,55,4,14,47,0,2,63,0,13,2,0,1,4,0,0,0,0,0,0,246,3,0,1211
3,8,2001-02-20,57,146,225,4,0,5,91,249,45,31,60,4,15,65,0,7,72,1,19,1,0,2,5,0,0,0,0,0,0,147,6,0,1257
4,8,2001-02-21,52,119,195,0,7,3,102,216,51,40,75,10,11,61,0,4,87,0,17,3,0,1,2,0,0,0,0,0,0,162,5,0,1223
5,8,2001-02-22,45,111,196,0,5,5,75,215,38,37,58,3,11,65,1,3,72,1,19,0,0,4,3,0,0,0,0,0,0,157,2,0,1126
